Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Number,Percent
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,1-Rogers Park,1,2860,8.871793281
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,2-West Ridge,2,3418,9.182988098
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,3-Uptown,3,2971,8.342927747
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,4-Lincoln Square,4,1651,6.157690586
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,5-North Center,5,922,4.214857143
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,6-Lakeview,6,2399,3.225546218
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,7-Lincoln Park,7,1602,3.510155788
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,8-Near North Side,8,2971,4.9915156
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,9-Edison Park,9,265,4.107253565
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,10-Norwood Park,10,1215,5.569306931
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,11-Jefferson Park,11,1119,7.421900909
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,12-Forest Glen,12,498,5.106644791
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,13-North Park,13,784,8.529155788
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,14-Albany Park,14,2339,7.906835238
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,15-Portage Park,15,2939,7.892475428
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,16-Irving Park,16,1905,6.048195066
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,17-Dunning,17,1311,5.577773996
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,18-Montclare,18,469,7.289400062
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,19-Belmont Cragin,19,4408,10.82700857
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,20-Hermosa,20,1091,8.515454262
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,21-Avondale,21,1401,6.660644671
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,22-Logan Square,22,2316,5.043114711
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,23-Humboldt Park,23,3665,14.66586635
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,24-West Town,24,3095,5.292679173
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,25-Austin,25,7364,17.69851952
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,26-West Garfield Park,26,1082,18.76517516
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,27-East Garfield Park,27,1370,18.28617192
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,28-Near West Side,28,3512,9.137029425
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,29-North Lawndale,29,2822,21.68267384
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,30-South Lawndale,30,2732,9.614640155
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,31-Lower West Side,31,1661,9.331984943
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,32-Loop,32,1172,5.046720923
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,33-Near South Side,33,599,3.655559624
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,34-Armour Square,34,806,12.10391951
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,35-Douglas,35,1580,16.02271575
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,36-Oakland,36,679,21.23866124
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,37-Fuller Park,37,265,28.55603448
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,38-Grand Boulevard,38,2218,21.15201221
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,39-Kenwood,39,1180,12.93150685
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,40-Washington Park,40,1314,26.70188986
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,41-Hyde Park,41,939,6.672351311
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,42-Woodlawn,42,1843,18.17016662
Social and Economic Factors,Employment,Unemployment,2012-2016,Community Area,43-South Shore,43,4613,20.79989178
